iter	Passed	Remaining
0	149	149055
1	153	76545
2	157	52395
3	161	40186
4	166	33120
5	170	28247
6	174	24761
7	178	22166
8	182	20113
9	186	18435
10	188	16980
11	192	15855
12	194	14783
13	196	13861
14	198	13039
15	200	12317
16	201	11679
17	203	11105
18	205	10588
19	206	10120
20	208	9706
21	209	9315
22	210	8951
23	211	8618
24	213	8307
25	214	8023
26	215	7757
27	216	7510
28	217	7278
29	218	7073
30	219	6868
31	220	6677
32	221	6498
33	222	6326
34	223	6163
35	224	6008
36	225	5861
37	226	5726
38	227	5597
39	228	5473
40	228	5353
41	229	5239
42	230	5130
43	231	5028
44	232	4935
45	233	4843
46	234	4753
47	235	4666
48	236	4582
49	236	4500
50	237	4421
51	238	4346
52	239	4276
53	240	4208
54	240	4140
55	241	4077
56	242	4014
57	243	3954
58	244	3898
59	245	3846
60	246	3791
61	247	3738
62	247	3686
63	248	3637
64	249	3589
65	250	3543
66	251	3499
67	251	3450
68	252	3407
69	253	3366
70	254	3325
71	255	3287
72	255	3248
73	256	3211
74	257	3175
75	258	3139
76	259	3104
77	259	3072
78	260	3040
79	261	3008
80	262	2976
81	263	2946
82	264	2917
83	264	2888
84	265	2857
85	266	2830
86	266	2800
87	267	2774
88	268	2749
89	269	2724
90	270	2699
91	271	2675
92	271	2651
93	272	2628
94	273	2607
95	274	2584
96	275	2563
97	276	2542
98	277	2521
99	277	2501
100	278	2481
101	279	2458
102	280	2439
103	280	2419
104	281	2401
105	282	2383
106	283	2365
107	284	2348
108	285	2330
109	285	2313
110	286	2296
111	287	2281
112	288	2265
113	289	2249
114	290	2233
115	290	2217
116	291	2201
117	292	2187
118	293	2171
119	294	2158
120	295	2144
121	296	2130
122	296	2114
123	297	2100
124	298	2086
125	298	2073
126	299	2060
127	300	2046
128	301	2033
129	302	2021
130	302	2009
131	303	1997
132	304	1985
133	305	1973
134	306	1961
135	306	1950
136	307	1939
137	308	1927
138	309	1917
139	310	1906
140	311	1895
141	311	1884
142	312	1874
143	313	1864
144	314	1854
145	315	1845
146	316	1835
147	317	1825
148	317	1815
149	318	1806
150	319	1797
151	320	1788
152	321	1778
153	322	1769
154	323	1761
155	323	1752
156	324	1743
157	325	1734
158	326	1725
159	327	1717
160	327	1709
161	328	1700
162	329	1694
163	330	1686
164	331	1678
165	332	1670
166	333	1662
167	334	1654
168	335	1647
169	335	1639
170	336	1632
171	337	1624
172	338	1617
173	339	1611
174	340	1603
175	341	1596
176	341	1589
177	342	1582
178	343	1576
179	344	1569
180	345	1561
181	345	1554
182	346	1547
183	347	1540
184	348	1534
185	349	1527
186	350	1521
187	350	1515
188	351	1508
189	352	1502
190	353	1496
191	354	1490
192	354	1484
193	355	1478
194	356	1472
195	357	1467
196	358	1461
197	359	1455
198	360	1449
199	360	1443
